key	what it is for / what to preserve	en (English)	am (አማርኛ)	om (Afaan Oromoo)	ti (ትግርኛ)	so (Soomaali)	sw (Kiswahili)	reviewer notes
admin.two_factor_on	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	On	በርቷል	Banameera	በሪሁ	Wuu shaqeynayaa	Imewashwa	
admin.two_factor_required	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Your bank requires two-factor authentication	ባንክዎ ባለ ሁለት ደረጃ ማረጋገጫ ይጠይቃል	Baankiin keessan mirkaneessa sadarkaa lamaa barbaada	ባንክኹም ክልተ ደረጃ መረጋገጺ ይሓትት	Bangigaagu wuxuu u baahan yahay xaqiijin laba-tallaabo	Benki yako inahitaji uthibitishaji wa hatua mbili	
admin.two_factor_turn_on	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Turn on two-factor	ባለ ሁለት ደረጃ አብራ	Sadarkaa lamaa banaa	ክልተ ደረጃ ኣብርህ	Shid laba-tallaabo	Washa hatua mbili	
admin.two_factor_turn_off	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Turn off	አጥፋ	Cufi	ኣጥፍእ	Dami	Zima	
admin.two_factor_activate	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Activate	አግብር	Hojiirra oolchi	ኣንቅሕ	Firfircooni	Amilisha	
admin.two_factor_scan_help	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Scan this in your authenticator app, or paste the secret into it, then type the first code it shows.	ይህንን በማረጋገጫ አፕሊኬሽንዎ ይቃኙ ወይም ሚስጥሩን ወደዚያ ይለጥፉ፤ ከዚያ የሚያሳየውን የመጀመሪያ ኮድ ይተይቡ።	Kana appii mirkaneessaa keessaniin skaan godhaa yookaan iccitii sana achi keessa maxxansaa; sana booda koodii jalqabaa inni agarsiisu barreessaa.	እዚ ብኣፕሊኬሽን መረጋገጺኹም ስካን ግበሩ ወይ ነቲ ምስጢር ናብኡ ለጥፉ፡ ድሕሪኡ ነቲ ዝርእዮ ቀዳማይ ኮድ ጽሓፉ።	Ku sawir abkaaga xaqiijinta, ama ku dhaji sirta halkaas, kadibna qor koodhka ugu horreeya ee uu tuso.	Changanua hii katika programu yako ya uthibitishaji, au bandika siri ndani yake, kisha andika msimbo wa kwanza inayoonyesha.	
admin.two_factor_secret	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Secret	ሚስጥር	Iccitii	ምስጢር	Sir	Siri	
admin.two_factor_uri	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Setup link	የማዋቀሪያ አገናኝ	Hidhaa qindeessuu	መስተኻኸሊ መላግቦ	Xiriirka dejinta	Kiungo cha usanidi	
admin.two_factor_enabled	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Two-factor is on	ባለ ሁለት ደረጃ በርቷል	Sadarkaan lamaa banameera	ክልተ ደረጃ በሪሁ	Laba-tallaabo waa shid	Hatua mbili imewashwa	
admin.two_factor_disabled	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Two-factor is off	ባለ ሁለት ደረጃ ጠፍቷል	Sadarkaan lamaa cufameera	ክልተ ደረጃ ጠፊኡ	Laba-tallaabo waa demis	Hatua mbili imezimwa	
admin.two_factor_off_confirm	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Enter your password to turn off two-factor authentication.	ባለ ሁለት ደረጃ ማረጋገጫን ለማጥፋት የይለፍ ቃልዎን ያስገቡ።	Mirkaneessa sadarkaa lamaa cufuuf jecha icciitii keessan galchaa.	ክልተ ደረጃ መረጋገጺ ንምጥፋእ መሕለፊ ቃልኩም ኣእትዉ።	Geli erayga sirta ah si aad u demiso xaqiijinta laba-tallaabo.	Weka nenosiri lako ili kuzima uthibitishaji wa hatua mbili.	
admin.recovery_codes	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Recovery codes	የመልሶ ማግኛ ኮዶች	Koodiiwwan deebisanii argachuu	ናይ ምምላስ ኮዳት	Koodhadhka soo celinta	Misimbo ya kurejesha	
admin.recovery_codes_help	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Save these somewhere safe. They are shown once and each works only once, and they are how you get in if you lose your phone.	እነዚህን ደህና በሆነ ቦታ ያስቀምጡ። አንድ ጊዜ ብቻ ይታያሉ፤ እያንዳንዱም አንድ ጊዜ ብቻ ይሰራል፤ ስልክዎን ቢያጡ የሚገቡበት መንገድ እነሱ ናቸው።	Kanneen bakka nagaa ta'etti kaa'aa. Al tokko qofa mul'atu, tokkoon tokkoon isaaniis al tokko qofa hojjetu; bilbila keessan yoo dhabdan karaa ittiin seentan isaanumaa.	እዚኦም ኣብ ውሑስ ቦታ ኣቐምጡ። ሓደ ግዜ ጥራይ እዮም ዝረኣዩ፡ ነፍሲ ወከፎም ሓደ ግዜ ጥራይ ይሰርሑ፡ ተሌፎንኩም እንተጠፊኡ ድማ መእተዊኹም እዮም።	Kuwan meel ammaan ah ku kaydso. Hal mar ayaa la tusaa, midkiiba hal mar ayuu shaqeeyaa, waana sida aad u gasho haddii aad taleefankaaga waydo.	Hifadhi hizi mahali salama. Zinaonyeshwa mara moja na kila moja hufanya kazi mara moja tu, nazo ndizo njia ya kuingia ukipoteza simu yako.	
admin.recovery_rotate	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	New recovery codes	አዲስ የመልሶ ማግኛ ኮዶች	Koodiiwwan deebisanii argachuu haaraa	ሓደሽቲ ናይ ምምላስ ኮዶች	Koodhadh soo-kabashada oo cusub	Misimbo mipya ya kurejesha	
admin.recovery_rotate_confirm	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Enter your password to replace your recovery codes. The old ones stop working immediately, and two-factor stays on.	የመልሶ ማግኛ ኮዶችዎን ለመተካት የይለፍ ቃልዎን ያስገቡ። አሮጌዎቹ ወዲያውኑ መስራት ያቆማሉ፣ እና ባለ ሁለት ደረጃ ማረጋገጫ እንደበራ ይቆያል።	Koodiiwwan deebisanii argachuu kee bakka buusuuf jecha darbii kee galchi. Kanneen duraa yeruma sana hojiin ala ta'u, mirkaneessi sadarkaa lamaa immoo banaa ta'ee hafa.	ኮዶች ምምላስካ ንምትካእ ናይ መሕለፊ ቃልካ ኣእቱ። እቶም ናይ ቀደም ብቕጽበት ስራሕ ይግድፉ፣ ክልተ ደረጃ መረጋገጺ ድማ ውሉዕ ኮይኑ ይተርፍ።	Geli erayga sirtaada si aad u beddesho koodhadhkaaga soo-kabashada. Kuwii hore isla markiiba way shaqayn doonaan, laba-taleefna way shidnaanaysaa.	Weka nenosiri lako ili kubadilisha misimbo yako ya kurejesha. Ya zamani yatakoma kufanya kazi mara moja, na uthibitishaji wa hatua mbili utabaki umewashwa.	
admin.recovery_rotated	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	New recovery codes issued — the old ones no longer work	አዲስ የመልሶ ማግኛ ኮዶች ተሰጥተዋል — አሮጌዎቹ ከእንግዲህ አይሰሩም	Koodiiwwan deebisanii argachuu haaraan kennaman — kanneen duraa siʼachi hin hojjetan	ሓደሽቲ ናይ ምምላስ ኮዶች ተዋሂቦም — እቶም ናይ ቀደም ደጊም ኣይሰርሑን	Koodhadh soo-kabasho cusub ayaa la bixiyay — kuwii hore mar dambe ma shaqeeyaan	Misimbo mipya ya kurejesha imetolewa — ya zamani hayafanyi kazi tena	
admin.recovery_codes_left	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} recovery codes left	{n} የመልሶ ማግኛ ኮዶች ቀርተዋል	Koodiiwwan deebisanii argachuu {n} hafaniiru	{n} ናይ ምምላስ ኮዳት ተሪፎም	{n} koodh oo soo celin ah ayaa hadhay	Misimbo {n} ya kurejesha imebaki	
admin.saved_them	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	I've saved them	አስቀምጫቸዋለሁ	Kaa'eera	ኣቐሚጠዮም	Waan kaydiyay	Nimezihifadhi	
admin.copy_failed	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Could not copy	መቅዳት አልተቻለም	Garagalchuun hin danda'amne	ክቐድሕ ኣይተኻእለን	Lama koobiyeyn karin	Haikuweza kunakili	
admin.copy	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Copy	ቅዳ	Garagalchi	ቅዳሕ	Koobi	Nakili	
admin.copied	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Copied	ተቀድቷል	Garagalfameera	ተቐዲሑ	Waa la koobiyeeyay	Imenakiliwa	
admin.nav_account	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Account	መለያ	Herrega	ሕሳብ	Akoonka	Akaunti	
admin.sign_in	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Sign in	ግባ	Seeni	እቶ	Gal	Ingia	
admin.password_label	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Password	የይለፍ ቃል	Jecha icciitii	መሕለፊ ቃል	Erayga sirta ah	Nenosiri	
admin.admin_token	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Admin token	የአስተዳዳሪ ቶክን	Tookinii bulchiinsaa	ናይ ኣመሓዳሪ ቶክን	Calaamadda maamulaha	Tokeni ya msimamizi	
admin.use_admin_token	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Use an admin token instead	በምትኩ የአስተዳዳሪ ቶከን ይጠቀሙ	Qooda kanaa tokenii bulchaa fayyadami	ኣብ ክንዲኡ ናይ ኣመሓዳሪ ቶከን ተጠቐም	Beddelkeeda isticmaal token-ka maamulaha	Badala yake tumia tokeni ya msimamizi	
admin.sign_in_with_email	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Sign in with email instead	በምትኩ በኢሜይል ይግቡ	Qooda kanaa iimeeliidhaan seeni	ኣብ ክንዲኡ ብኢመይል እቶ	Beddelkeeda ku gal iimaylka	Badala yake ingia kwa barua pepe	
admin.mfa_code_digits	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Enter the 6-digit code from your authenticator app.	ከአረጋጋጭ መተግበሪያዎ የ6 አኃዝ ኮድ ያስገቡ።	Appii mirkaneessaa kee irraa koodii lakkoofsa 6 galchi.	ካብ መረጋገጺ ኣፕኻ ናይ 6 ኣሃዝ ኮድ ኣእቱ።	Geli koodhka 6-lambar ee ka socda barnaamijkaaga xaqiijinta.	Weka msimbo wa tarakimu 6 kutoka programu yako ya uthibitishaji.	
admin.caps_lock_on	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Caps Lock is on	Caps Lock በርቷል	Caps Lock banameera	Caps Lock በሪሁ	Caps Lock waa shid	Caps Lock imewashwa	
admin.stage_line	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Your bank’s front door, in your customer’s language.	ባንክዎ ደንበኞቹን በቋንቋቸው ይቀበል።	Baankiin keessan maamiltoota isaa afaan isaaniitiin haa simatu.	ባንክኹም ንዓማዊሉ ብቋንቋኦም ይቀበሎም።	Bangigaagu macaamiishiisa ha ku soo dhaweeyo luqaddooda.	Benki yako iwakaribishe wateja wake kwa lugha yao.	
admin.foot_encrypted	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Encrypted in transit	በመተላለፍ ላይ የተመሰጠረ	Yeroo daddarbaa iccitiin qabame	ኣብ መስተላለፊ ዝተመስጠረ	La sireeyay marka la gudbinayo	Imesimbwa wakati wa usafirishaji	
admin.foot_sessions	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Sessions expire after 8 hours	ክፍለ ጊዜዎች ከ8 ሰዓት በኋላ ያበቃሉ	Yeroon seensaa sa'aatii 8 booda dhuma	ክፍለ ግዜታት ድሕሪ 8 ሰዓት ይውዳእ	Fadhiyada waxay dhacaan 8 saacadood kadib	Vipindi huisha baada ya saa 8	
admin.foot_audited	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Every action is audited	እያንዳንዱ እርምጃ ይመዘገባል	Tarkaanfiin hundi ni galmeeffama	ነፍሲ ወከፍ ስጉምቲ ይምዝገብ	Tallaabo kastaa waa la duubaa	Kila kitendo hurekodiwa	
admin.bank	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Bank	ባንክ	Baankii	ባንክ	Bangi	Benki	
admin.gate_sub	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{bank} — assistant administration	{bank} — የረዳት አስተዳደር	{bank} — bulchiinsa gargaaraa	{bank} — ምሕደራ ሓጋዚ	{bank} — maamulka kaaliyaha	{bank} — usimamizi wa msaidizi	
admin.stage_sub	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Seven channels, six languages, and a real teller one tap away — answering from your bank’s own documents, with the source attached.	ሰባት መንገዶች፣ ስድስት ቋንቋዎች እና በአንድ ንክኪ የሚደረስ እውነተኛ ገንዘብ ያዥ — ከባንክዎ ሰነዶች እየመለሱ፣ ምንጩም ተያይዞ።	Karaa torba, afaan jaha fi namni dhugaa tuqaa tokkoon argamu — galmeewwan baankii keessanii irraa deebisu, madda isaas waliin.	ሸውዓተ መንገድታት፡ ሽዱሽተ ቋንቋታት፡ ብሓደ ንኽኪ ዝርከብ ናይ ብሓቂ ተቐባል ገንዘብ — ካብ ሰነዳት ባንክኹም እናመለሱ፡ ምንጩ ተታሒዙ።	Toddoba kanaal, lix luqadood, iyo khasnaji dhab ah oo hal taabasho ah — ka jawaabaya dukumiintiyada bangigaaga, isha lagu lifaaqay.	Njia saba, lugha sita, na karani halisi kwa mguso mmoja — wakijibu kutoka hati za benki yako, na chanzo kikiambatanishwa.	
admin.assistant	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Assistant	ረዳት	Gargaaraa	ሓጋዚ	Kaaliye	Msaidizi	
admin.online	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	online	በመስመር ላይ	sararaa irra	ኣብ መስመር	khadka tooska ah	mtandaoni	
admin.mock_answer	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	To open an account, bring a valid ID and a passport photo to any branch.	ሂሳብ ለመክፈት የሚሰራ መታወቂያና የፓስፖርት ፎቶ ይዘው ወደ ማንኛውም ቅርንጫፍ ይምጡ።	Herrega banuuf, waraqaa eenyummaa hojjetuu fi suuraa paaspoortii qabattanii damee kamiyyuu dhufaa.	ሕሳብ ንምኽፋት፡ ዝሰርሕ መንነትን ናይ ፓስፖርት ስእልን ሒዝኩም ናብ ዝኾነ ጨንፈር ምጹ።	Si aad xisaab u furto, keen aqoonsi ansax ah iyo sawir baasaboor laan kasta.	Ili kufungua akaunti, leta kitambulisho halali na picha ya pasipoti katika tawi lolote.	
admin.n_sources	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} sources	{n} ምንጮች	maddeen {n}	{n} ምንጭታት	{n} il	vyanzo {n}	
admin.mock_question	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	How do I open an account?	ሂሳብ እንዴት እከፍታለሁ?	Herrega akkamittin bana?	ሕሳብ ብኸመይ እኸፍት?	Sidee ayaan xisaab u furaa?	Ninawezaje kufungua akaunti?	
admin.chan_connect	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Connect	አገናኝ	Wal qunnamsiisi	ኣራኽብ	Ku xidhiidhi	Unganisha	
admin.chan_update	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Update	አዘምን	Haaromsi	ኣሐድስ	Cusboonaysii	Sasisha	
admin.chan_copy	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Copy	ቅዳ	Garagalchi	ቅዳሕ	Koobi	Nakili	
admin.chan_copied	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Copied	ተቀድቷል	Garagalfameera	ተቐዲሑ	Waa la koobiyeeyay	Imenakiliwa	
admin.chan_web_title	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Put the widget on your website	መስኮቱን በድረ-ገጽዎ ላይ ያስቀምጡ	Widjetii kana marsariitii keessan irra kaa'aa	ነቲ መስኮት ኣብ መርበብ ሓበሬታኹም ኣቐምጡ	Widget-ka geli degelkaaga	Weka kidirisha kwenye tovuti yako	
admin.chan_web_help	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Paste this once, before the closing </body> tag. It adds a chat button in your own colour and loads nothing until a visitor opens it.	ይህን አንድ ጊዜ፣ ከ</body> መዝጊያ በፊት ይለጥፉ። በራስዎ ቀለም የውይይት አዝራር ይጨምራል፤ ጎብኚ እስኪከፍተው ድረስ ምንም አይጫንም።	Kana yeroo tokko, dura </body> cufaa maxxansaa. Halluu keessaniin qabduu chat dabala, hanga daawwataan banutti homaa hin fe'u.	ነዚ ሓደ ግዜ፣ ቅድሚ እቲ ዝዓጹ </body> ለጥፍዎ። ብሕብርኹም መጠወቒ ዝርርብ ይውስኽ፣ በጻሒ ክሳብ ዝኸፍቶ ገለ ኣይጽዕንን።	Mid kaliya ku dheji, ka hor summadda xidhitaanka ee </body>. Wuxuu ku darayaa badhan sheeko oo midabkaaga ah, waxbana ma raro ilaa booqde furo.	Bandika hii mara moja, kabla ya lebo ya kufunga </body>. Inaongeza kitufe cha mazungumzo kwa rangi yako na haipakii chochote hadi mtembeleaji akifungue.	
admin.chan_telegram_title	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Connect your bot	ቦትዎን ያገናኙ	Boot keessan wal qunnamsiisaa	ቦትኩም ኣራኽቡ	Ku xidhiidhi bot-kaaga	Unganisha boti yako	
admin.chan_telegram_help	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Message @BotFather on Telegram, send /newbot, and paste the token it gives you.	በቴሌግራም ላይ @BotFather ን ያነጋግሩ፣ /newbot ይላኩ፣ የሚሰጥዎትን ቶከን እዚህ ይለጥፉ።	Telegram irratti @BotFather dubbisaa, /newbot ergaa, tokeenii isaan isinii kennan asitti maxxansaa.	ኣብ ቴለግራም ንmy@BotFather ተወከሱ፣ /newbot ስደዱ፣ እቲ ዝህበኩም ቶከን ኣብዚ ለጥፍዎ።	Telegram ku fariin dir @BotFather, dir /newbot, kadibna halkan ku dheji token-ka ay ku siiyaan.	Tuma ujumbe kwa @BotFather kwenye Telegram, tuma /newbot, kisha bandika tokeni anayokupa hapa.	
admin.chan_telegram_placeholder	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Bot token from @BotFather	ከ@BotFather የተገኘ የቦት ቶከን	Tokeenii boot @BotFather irraa	ካብ @BotFather ዝተረኽበ ቶከን ቦት	Token bot ah oo ka yimid @BotFather	Tokeni ya boti kutoka @BotFather	
admin.chan_replaces_current	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Entering a new token replaces the current connection.	አዲስ ቶከን ማስገባት አሁን ያለውን ግንኙነት ይተካል።	Tokeenii haaraa galchuun walqunnamtii ammaa bakka bu'a.	ሓድሽ ቶከን ምእታው ነቲ ህሉው ርክብ ይትክኦ።	Token cusub oo la geliyo wuxuu beddelayaa xidhiidhka hadda jira.	Kuweka tokeni mpya kunabadilisha muunganisho uliopo.	
admin.chan_viber_title	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Connect your Viber bot	የቫይበር ቦትዎን ያገናኙ	Boot Viber keessan wal qunnamsiisaa	ቦት ቫይበርኩም ኣራኽቡ	Ku xidhiidhi bot-kaaga Viber	Unganisha boti yako ya Viber	
admin.chan_viber_help	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Viber bots are not self-serve. Since February 2024 you apply to Rakuten Viber, or to one of their verified partners, and agree commercial terms. Once the bot account exists, paste its authentication token here and we register the webhook for you.	የቫይበር ቦቶች በራስ የሚከፈቱ አይደሉም። ከየካቲት 2024 ጀምሮ ወደ ራኩተን ቫይበር ወይም ወደ አንዱ የተረጋገጡ አጋሮቻቸው ማመልከትና የንግድ ውሎችን መቀበል ይጠበቅብዎታል። የቦት መለያው ከተፈጠረ በኋላ የማረጋገጫ ቶከኑን እዚህ ይለጥፉ፤ ድረ-መንጠቆውን እኛ እንመዘግባለን።	Bootonni Viber ofiin banamuu hin danda'an. Guraandhala 2024 irraa eegalee Rakuten Viber yookaan michuuwwan isaanii mirkanaa'an keessaa tokkotti iyyachuu fi haala daldalaa fudhachuu qabdu. Erga akkaawuntiin bootii uumamee booda, tokeenii mirkaneessaa isaa asitti maxxansaa — webhook isa nuti galmeessina.	ቦታት ቫይበር ባዕልኻ እትኸፍቶም ኣይኮኑን። ካብ ለካቲት 2024 ጀሚሩ ናብ ራኩተን ቫይበር ወይ ናብ ሓደ ካብቶም ዝተረጋገጹ መሻርኽቶም ከተመልክቱን ንውዕላት ንግዲ ክትቕበሉን ኣለኩም። እቲ ኣካውንት ቦት ምስ ተፈጥረ፣ ቶከን መረጋገጺኡ ኣብዚ ለጥፍዎ — ነቲ ወብ-ሁክ ንሕና ንምዝግቦ።	Bot-yada Viber lama abuuri karo adigoo kaliya. Laga bilaabo Febraayo 2024 waxaad codsi u gudbisaa Rakuten Viber ama mid ka mid ah shuraakadooda la xaqiijiyay, waxaadna oggolaataa shuruudaha ganacsi. Marka akoonka bot-ka la abuuro, halkan ku dheji token-kiisa xaqiijinta — annagana webhook-ga waan kuu diiwaan gelinaynaa.	Boti za Viber haziwezi kufunguliwa peke yako. Tangu Februari 2024 unaomba kwa Rakuten Viber, au kwa mmoja wa washirika wao walioidhinishwa, na kukubali masharti ya kibiashara. Akaunti ya boti ikishaundwa, bandika tokeni yake ya uthibitisho hapa — sisi tutasajili webhook.	
admin.chan_viber_placeholder	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Authentication token from partners.viber.com	ከ partners.viber.com የተገኘ የማረጋገጫ ቶከን	Tokeenii mirkaneessaa partners.viber.com irraa	ካብ partners.viber.com ዝተረኽበ ቶከን መረጋገጺ	Token xaqiijin ah oo ka yimid partners.viber.com	Tokeni ya uthibitisho kutoka partners.viber.com	
admin.chan_viber_connected	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Viber connected	ቫይበር ተገናኝቷል	Viber wal qunnameera	ቫይበር ተራኺቡ	Viber waa la xidhiidhiyay	Viber imeunganishwa	
admin.chan_meta_title	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Connect through Meta	በሜታ በኩል ያገናኙ	Meta karaa wal qunnamsiisaa	ብሜታ ኣቢልኩም ኣራኽቡ	Ku xidhiidh Meta	Unganisha kupitia Meta	
admin.chan_meta_help	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	WhatsApp, Messenger and Instagram all run through one Meta app. Connect the app once, then add the credential for whichever product Meta has approved — the others keep working untouched.	ዋትስአፕ፣ መሴንጀርና ኢንስታግራም ሁሉም በአንድ የሜታ መተግበሪያ በኩል ይሠራሉ። መተግበሪያውን አንድ ጊዜ ያገናኙ፤ ከዚያ ሜታ ላጸደቀው ምርት መረጃውን ይጨምሩ — ሌሎቹ ሳይነኩ መስራታቸውን ይቀጥላሉ።	WhatsApp, Messenger fi Instagram hundi appii Meta tokkoon hojjetu. Appii sana yeroo tokko wal qunnamsiisaa, achiis oomisha Meta mirkaneesseef ragaa dabalaa — kaan osoo hin tuqamin hojjechuu itti fufu.	ዋትስኣፕ፣ መሰንጀርን ኢንስታግራምን ኩሎም ብሓደ ኣፕ ሜታ እዮም ዝሰርሑ። ነቲ ኣፕ ሓንሳብ ኣራኽቡ፣ ደሓር ንዝኾነ ሜታ ዘጽደቖ ውጽኢት ሓበሬታ ወስኹ — እቶም ካልኦት ከይተተንከፉ ይቕጽሉ።	WhatsApp, Messenger iyo Instagram dhammaantood waxay ku shaqeeyaan hal app oo Meta ah. Hal mar ku xidhiidhi app-ka, kadibna ku dar aqoonsiga alaabta Meta ansixisay — kuwa kalena way sii shaqaynayaan iyagoo aan la taaban.	WhatsApp, Messenger na Instagram vyote hupitia programu moja ya Meta. Unganisha programu mara moja, kisha ongeza kitambulisho cha bidhaa yoyote ambayo Meta imeidhinisha — nyingine zinaendelea kufanya kazi bila kuguswa.	
admin.chan_meta_app_secret	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	App secret	የመተግበሪያ ሚስጥር	Iccitii appii	ምስጢር ኣፕ	Sirta app-ka	Siri ya programu	
